epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,49.2327,1.77783,1.47546,1.48398,0.88777,0.96,0.94205,0.45123,1.5793,1.2711,1.64387,0.0011829,0.0011829,0.0011829
46,50.3137,1.74227,1.51853,1.46665,0.93927,0.92,0.96324,0.52445,1.4825,1.1655,1.56248,0.0011719,0.0011719,0.0011719
47,51.3851,1.8196,1.45293,1.4752,0.95921,0.94097,0.96329,0.52825,1.45688,1.12018,1.52414,0.0011609,0.0011609,0.0011609
48,52.4814,1.7067,1.45511,1.48555,1,0.95881,0.96799,0.5345,1.51316,1.28461,1.54774,0.0011499,0.0011499,0.0011499
49,53.5663,1.70887,1.49732,1.40871,0.97565,0.92,0.96878,0.54364,1.48579,1.21148,1.54159,0.00113889,0.00113889,0.00113889
50,54.6607,1.71179,1.37696,1.45842,0.98913,0.8,0.93184,0.52881,1.41347,1.16841,1.50139,0.00112789,0.00112789,0.00112789
51,55.7221,1.77387,1.41156,1.45463,0.99912,0.8,0.91,0.5326,1.43641,1.25152,1.51126,0.00111689,0.00111689,0.00111689
52,56.8147,1.69781,1.38788,1.42812,0.9074,0.8,0.93214,0.5974,1.3151,1.52772,1.48332,0.00110589,0.00110589,0.00110589
53,57.8859,1.70212,1.41177,1.50031,0.88961,0.8,0.94355,0.48564,1.54492,1.66884,1.62049,0.00109489,0.00109489,0.00109489
54,58.9627,1.73201,1.43314,1.55779,1,0.91121,0.95584,0.33115,2.10625,1.4127,1.85203,0.00108388,0.00108388,0.00108388
55,60.0623,1.81823,1.42492,1.44596,0.91988,0.9185,0.95565,0.47398,1.76939,1.17993,1.6582,0.00107288,0.00107288,0.00107288
56,61.1508,1.78258,1.50517,1.46152,0.98303,1,0.995,0.58066,1.36068,1.0449,1.43026,0.00106188,0.00106188,0.00106188
57,62.2466,1.77217,1.35763,1.49672,0.96946,0.96,0.99346,0.54732,1.43951,1.18211,1.48094,0.00105088,0.00105088,0.00105088
58,63.3432,1.75371,1.39534,1.48581,0.88566,0.92979,0.96395,0.51549,1.4396,1.34532,1.50658,0.00103987,0.00103987,0.00103987
59,64.4087,1.6772,1.36828,1.40296,0.95411,0.92,0.97919,0.53946,1.38287,1.19233,1.46331,0.00102887,0.00102887,0.00102887
